               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.032673,            0.010771,           0.0013053,             0.53657,             0.37941,             0.36184,             0.16818,            0.050572,            0.018502,            0.013461,           0.0014612,           0.0014612,           0.0014612
                  71,            0.031745,            0.010404,           0.0012784,             0.49862,             0.39735,             0.37263,             0.17564,            0.050555,            0.018617,            0.013374,           0.0013375,           0.0013375,           0.0013375
                  72,            0.031322,            0.010449,           0.0012707,             0.53649,             0.38624,             0.37173,             0.17384,            0.050927,            0.018953,            0.011717,           0.0012138,           0.0012138,           0.0012138
                  73,            0.030756,            0.010192,           0.0011674,             0.52289,              0.3817,             0.36733,             0.16609,            0.051627,            0.019183,            0.011616,             0.00109,             0.00109,             0.00109
                  74,            0.030817,            0.009933,           0.0011653,             0.51637,             0.38116,             0.36735,             0.16888,            0.051568,            0.019129,            0.012306,          0.00096625,          0.00096625,          0.00096625
                  75,            0.030615,           0.0097518,           0.0010775,             0.53341,             0.38322,             0.37265,             0.16538,            0.051757,            0.019167,            0.011773,           0.0008425,           0.0008425,           0.0008425
                  76,            0.030245,           0.0099558,           0.0011061,             0.56598,             0.39079,             0.37834,             0.17132,            0.051645,            0.019161,            0.012698,          0.00071875,          0.00071875,          0.00071875
                  77,            0.029509,           0.0093982,          0.00097833,             0.55689,             0.39803,             0.37077,             0.17121,            0.051987,            0.019333,            0.012834,            0.000595,            0.000595,            0.000595
                  78,            0.029523,           0.0096209,           0.0010873,             0.53938,             0.39124,             0.37047,             0.16682,            0.052368,            0.019442,            0.013444,          0.00047125,          0.00047125,          0.00047125
                  79,            0.029169,           0.0097637,           0.0010633,             0.57826,             0.38445,              0.3706,             0.16601,            0.052712,            0.019529,            0.013633,           0.0003475,           0.0003475,           0.0003475
